date,router_signal_as_of_date,active_pair,portfolio_regime,regime_confidence,regime_reason,decision_action,decision_pair,decision_reason,decision_error,selection_ai_success,switch_executed,switch_penalty_applied,switch_cost_tracked,switch_penalty_return_applied,switch_review_action,switch_review_reason,switch_review_error,switch_review_ai_success,regime_changed,previous_portfolio_regime,cooldown_active,hold_gate_active,active_hold_days,cooldown_ranks,cooldown_poor_flags,cooldown_all_poor,initial_hold_active,active_regime_rank,active_overall_recent_rank,raw_returns_with_rf,router_vol_overlay_leverage,returns_with_rf,equity_curve_with_rf,active_obs,active_trailing_return,active_recent_return_20d,active_recent_return_40d,active_recent_momentum_improving,active_annualized_return,active_rolling_sharpe,active_drawdown,active_cvar_5,active_realized_vol,active_vol_tracking_error,active_turnover,active_drawdown_consistency_score,active_drawdown_consistency_mean_abs,active_drawdown_consistency_std_abs,active_drawdown_consistency_target_gap,active_max_abs_drawdown,active_max_drawdown_target_gap,active_max_drawdown_excess_over_target,active_risk_on_score,active_balanced_score,active_defensive_score,bh_equity
2024-03-11,2024-03-08,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review held active pair,,False,False,0.0,0.0,False,hold,,,True,False,risk_on,False,False,21,"{""10"": 5, ""20"": 1, ""60"": 1}","{""10"": false, ""20"": false, ""60"": false}",False,False,4.0,1,0.0014340852251383,1.0,0.0014340852251383,1030.7268864298092,63,0.0617252017780405,0.0288301830970812,0.0489252177458068,True,0.246900807112162,3.111656111995905,-0.0215690423740293,-0.0076844064155098,0.0793470737850246,-0.0206529262149753,0.0028395092782621,-0.0548612214477796,0.0137024363531219,0.0085636578009016,0.046297563646878,0.0215690423740291,0.0384309576259708,0.0,-2.763065372290632,-2.763065372290632,-2.7555162074597215,1024.049388603472
2024-03-12,2024-03-11,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 1/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 1/10,,False,False,,False,False,22,{},{},,False,4.0,1,-0.0036491162963045,1.0,-0.0036491162963045,1026.9724984168731,63,0.0641617491345146,0.0306354343751141,0.0462891385842753,True,0.2566469965380586,3.238478548316903,-0.0215690423740292,-0.0076844064155098,0.0792492501367479,-0.020750749863252,0.0028395092782621,-0.0548612214477797,0.013702436353122,0.0085636578009017,0.0462975636468779,0.0215690423740292,0.0384309576259707,0.0,-2.875432954815218,-2.875432954815218,-2.8678837899843077,1021.3767150041753
2024-03-13,2024-03-12,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 2/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 2/10,,False,False,,False,False,23,{},{},,False,4.0,1,0.0031808463785545,1.0,0.0031808463785545,1030.2443410250442,63,0.0619707177737418,0.0264976835959503,0.0372323996644786,True,0.2478828710949674,3.112241590648522,-0.0215690423740293,-0.0076844064155098,0.079647695680114,-0.0203523043198859,0.0028395092782621,-0.0561693541117868,0.0127003485771882,0.0088697026889751,0.0472996514228117,0.0215690423740292,0.0384309576259707,0.0,-2.7652427345296604,-2.7652427345296604,-2.75769356969875,1025.2112388142734
2024-03-14,2024-03-13,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 3/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 3/10,,False,False,,False,False,24,{},{},,False,4.0,1,-0.0027115417653969,1.0,-0.0027115417653969,1027.4545744593738,63,0.0670319761893302,0.0403571422323266,0.0469106577784047,True,0.2681279047573208,3.3705099212191016,-0.021569042374029,-0.0076844064155098,0.079551139449054,-0.0204488605509459,0.0018921411610036,-0.0561693541117869,0.0127003485771882,0.0088697026889752,0.0472996514228117,0.0215690423740292,0.0384309576259707,0.0,-2.994825060445824,-2.994825060445824,-2.9872758956149137,1022.7871901952216
2024-03-15,2024-03-14,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 4/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 4/10,,False,False,,False,False,25,{},{},,False,4.0,1,-0.002178512370764,1.0,-0.002178512370764,1025.2186882956266,63,0.0694384082488395,0.0371545234944021,0.0509185418272994,True,0.2777536329953582,3.51879736755518,-0.0215690423740292,-0.0076844064155098,0.0789342505358125,-0.0210657494641874,0.0018921411610036,-0.0561693541117868,0.0127003485771883,0.0088697026889751,0.0472996514228116,0.0215690423740293,0.0384309576259706,0.0,-3.1230781841792083,-3.1230781841792083,-3.1155290193482985,1021.5784415681424
2024-03-18,2024-03-15,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 5/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 5/10,,False,False,,False,False,26,{},{},,False,4.0,1,0.0051602719367161,1.0,0.0051602719367161,1030.522769001314,63,0.0486993978159808,0.0281874312198942,0.0440139657456089,True,0.1947975912639234,2.752713018342886,-0.021569042374029,-0.0076844064155098,0.0707656737065857,-0.0292343262934142,0.0018921411610036,-0.0546560061576917,0.0134565181081687,0.0081125242658604,0.0465434818918312,0.0215690423740292,0.0384309576259707,0.0,-2.401682728405349,-2.401682728405349,-2.3941335635744383,1026.4276148388612
2024-03-19,2024-03-18,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 6/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 6/10,,False,False,,False,False,27,{},{},,False,4.0,1,0.0035000821170678,1.0,0.0035000821170678,1034.1360029353834,63,0.043632835201523,0.0353773555155964,0.0451331651315932,True,0.1745313408060921,2.540107779097024,-0.0215690423740292,-0.0076844064155098,0.0687102107407961,-0.0312897892592038,0.0018921411610036,-0.0546560061576915,0.0134565181081688,0.0081125242658603,0.0465434818918311,0.0215690423740293,0.0384309576259706,0.0,-2.206357535660591,-2.206357535660591,-2.1988083708296804,1028.694279283376
2024-03-20,2024-03-19,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 7/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 7/10,,False,False,,False,False,28,{},{},,False,4.0,1,0.002352209918597,1.0,0.002352209918597,1036.5713710242678,63,0.0482894232373184,0.0407589876984149,0.045342457659675,True,0.1931576929492737,2.8062225179518228,-0.0215690423740291,-0.0076844064155098,0.0688319232397342,-0.0311680767602657,0.002872689009944,-0.0546560061576916,0.0134565181081687,0.0081125242658603,0.0465434818918312,0.0215690423740291,0.0384309576259708,0.0,-2.438863205702674,-2.438863205702674,-2.4313140408717637,1029.575999233948
2024-03-21,2024-03-20,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 8/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 8/10,,False,False,,False,False,29,{},{},,False,4.0,1,0.0042838411932444,1.0,0.0042838411932444,1041.0214029729673,63,0.0479931159189894,0.0432289437144167,0.0463646985357338,True,0.1919724636759578,2.790235057851483,-0.0215690423740292,-0.0076844064155098,0.0688015381126273,-0.0311984618873726,0.002872689009944,-0.0546560061576916,0.0134565181081687,0.0081125242658604,0.0465434818918312,0.0215690423740292,0.0384309576259707,0.0,-2.4247747548136505,-2.4247747548136505,-2.41722558998274,1030.9967003010254
2024-03-22,2024-03-21,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 9/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 9/10,,False,False,,False,False,30,{},{},,False,4.0,1,-0.0001479545951169,1.0,-0.0001479545951169,1040.8673904664922,63,0.0468007527146017,0.0414679137500761,0.0550755457086651,True,0.1872030108584069,2.732485117890625,-0.0215690423740293,-0.0076844064155098,0.0685101666730835,-0.0314898333269165,0.0019173650039701,-0.0546560061576916,0.0134565181081687,0.0081125242658603,0.0465434818918312,0.0215690423740292,0.0384309576259707,0.0,-2.3730681345562403,-2.3730681345562403,-2.36551896972533,1029.3788741670926
